model,accuracy,precision,recall,f1,auc
XGBoost,0.5101253616200578,0.5141667398311781,0.7800803029438069,0.6198064711218627,0.5085798845960208
RandomForest,0.5105052453172029,0.5134489781585786,0.834731974653194,0.6358082400260898,0.5074182490618553
LogisticRegression,0.5124338856257853,0.5157583716349311,0.7772639911704821,0.6200672501081619,0.5064359873767824
